theme;question;answer
Culture pop;Quel est le prénom du sorcier appelé "Harry" ?;Harry Potter
Géo;Quelle est la capitale du Japon ?;Tokyo
Sciences;Quelle planète est surnommée la planète rouge ?;Mars
Sport;Dans quel sport utilise-t-on une raquette et un volant ?;Badminton
Histoire;Quel monument parisien était autrefois une forteresse royale ?;Le Louvre
Musique;Quel groupe a chanté "Bohemian Rhapsody" ?;Queen
Cinéma;Quel est le nom du sabre laser de couleur verte porté par Luke ?;Sabre laser vert
Cuisine;Quel fromage est traditionnellement utilisé dans une raclette ?;Fromage à raclette
Nature;Quel animal est le plus grand mammifère terrestre ?;Éléphant d'Afrique
Technologie;Quel constructeur fabrique l'iPhone ?;Apple
